tweet_id,kurdish_tweets,sentiment,author,content,tweets,kurdish_sentiments
1956978668,ئاهه. ... باشە، هیوای ئەوەم دەخواست کە بتوانم لە ڕێگادا هەندێک شت فێر بم. ... بۆچی من و تۆ کار لەسەر شتی جیاواز ناکەین بەڵام هەروەها,worry,bryancheung,"@onscrn Ahh.  ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also","Ahh. ... Well, I was hoping that I could learn some stuff on the way. ... Why not you and I work on separate things but also",نیگەران
1956979150,من لێرە لە تویتەر کێشەم هەیە لەگەڵ وێنەکەم amf!!!...ناتوانم ڕووخسارم ببینم!,sadness,rionne,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,I'm having a problem with my photo here in twitter amf!!!...can't see my face!,دڵتەنگ
1956979437,ئای نەخێر! ئەگەر تایەی ئۆتۆمبێلێک بفڕم ئەوا بەڕاستی دەبێت هەندێک دوکەڵی باتمان بنێری بۆ سەرەوە.,neutral,shenamygans,"@jakeboyd, oh noooo!  if i blow a tire you're reaaaally going to have to send up some batman smoke.",oh noooo! if i blow a tire you're reaaaally going to have to send up some batman smoke.,ئاسایی
1956979756,wnna حەمامێک بکە!!!!,neutral,ryarellano,wnna take a bath!!!!,wnna take a bath!!!!,ئاسایی
1956979894,شیری شوکولاتە لە ڕێگەی پەڕۆیەکەوە زۆر باشترە. من کەمی وتراوە پەڕۆ,neutral,lookitsholly,Chocolate milk is so much better through a straw. I lack said straw,Chocolate milk is so much better through a straw. I lack said straw,ئاسایی
1956979900,بۆچی ئەوەندە ماندووم؟,worry,a_schmel,why am i so tired?,why am i so tired?,نیگەران
1956979917,هێی یو لیل گێل من نامەم بۆ یو,empty,Dreness023,@djmicdamn hey yu lil fucker i textd yu,hey yu lil fucker i textd yu,بەتاڵ
1956980788,کات جیاوازی و من تەنها لە شتەکانی ڕۆژانەدا پێچراومەتەوە بۆیە من havent بووم تویت. بەم زووانە قسە بکە،پێویستە بخەوێت...لە 6hrs دا هەڵدەستێت,neutral,nathaliep,"@Mennard time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs","time diff and i've just been wrapped up in day to day stuff so i havent been tweeting. talk soon,must sleep...up in 6hrs",ئاسایی
1956980883,بە هیچ شێوەیەک! نەفرەت لەوەی کە بی دەمژێت! تۆ باشی?,neutral,hollywoods500,@benballer  no way! damn that sucks B!  are you ok?,no way! damn that sucks B! are you ok?,ئاسایی
1956980972,مژدە دەدات کە نەتوانیت ڕۆژانێک پشوو لە کارەکەت وەربگریت یان پارەت هەبێت بۆ ئەوەی گەشتەکە بەو شێوەیە دڵتەزێن ئەنجام بدەیت,worry,syl3nt,sucks not being able to take days off of work or have the money to take the trip  so sad,sucks not being able to take days off of work or have the money to take the trip so sad,نیگەران
1956981427,جێگا...سۆرتا. ئەمڕۆ باش بوو، سارا هەیە سترێپ بیری لەوە کردۆتەوە ئەنجلینا دەکات بۆ؛ من ئاوێکم لەگەڵ B4 ی ئەودا هاوبەش کرد پێیان وتم، من prob دەیگەیەنم بۆ,enthusiasm,Caillie,"bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to","bed...sorta. today was good, sara has strep thought Angelina does to; i shared a water with her B4 they told me, i will prob get it to",پەرۆش
1956981850,پاشەکشەی ئابووری. هۆتێلەکەی خەریکی ڕێکخستنەوەی چۆنیەتی ئەنجامدانی ئەکاونتەکانن. لە کورتخایەندا کەمێک فشاری زیاتر زیاد دەکات بەڵام ئێمە ڕوبەڕوی دەبینەوە,neutral,robuttley,@ramtops the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,the recession. her hotel are restructuring how the accounts are done. adds a bit more pressure in the short term but we'll cope,ئاسایی
1956982075,بەڵام من دیبم لەسەر سولو وەرگرت...,neutral,minamic,@lostluna But I got dibs on Sulu...,But I got dibs on Sulu...,ئاسایی
1956982383,ئاوو ئێستا و بەرەو سەرەوە، یای! هێشتا دڵتەنگم بۆ ڕۆشتن گرەو دەکەم.,sadness,Ameeee,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet.","Aww Onward and upwards now, yay! Still sad to leave I bet.",دڵتەنگ
1956982449,بە یەکجار هاها. هەژار aby هێشتا ئازاری هەیە!,worry,DawnofOURnight,@itsgabbith at once haha.  poor aby still gets sore!,at once haha. poor aby still gets sore!,نیگەران
1956982576,diesel yaris... 70mpg ئەوەندە دڵتەنگە لە ئەمریکا بەردەست نییە. ئەوە زۆر نایاب دەبێت.,sadness,kShadhavar,diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,diesel yaris... 70mpg so sad its not available in the US. That'd be awesome.,دڵتەنگ
1956982605,من دەمەوێت ئەم ئەلبوومە نایابە بکڕم بەڵام بەداخەوە i dont hav enuff funds its &quot;long time noisy&quot;,sadness,Diyeni,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,I want to buy this great album but unfortunately i dont hav enuff funds its &quot;long time noisy&quot;,دڵتەنگ
1956983160,بە هەموو ڕاستگۆیی...ئازار بلێچ.,sadness,crittyjoy,@Pokinatcha  in all honesty...pain   blech.,in all honesty...pain blech.,دڵتەنگ
1956983171,باشە ... سەرنشینەکان ... کەس لە ژیاندا نییە ... هەموویان مردوون ... تۆ تەنها تا کۆتایی نازانیت ... پاشان دەگریت ...,sadness,paulyum,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,دڵتەنگ
1956983467,لە ماڵەوە بە تەنیا کە زۆر شت نییە بیکەیت,neutral,njc87,At home alone with not much to do,At home alone with not much to do,ئاسایی
1956983509,ia زۆر! من بەڕاستی دڵخۆش نەبووم بە هیچ کام لە هەڵبژاردەکانی چێشتلێنەران بۆ سینگڵەکان.,worry,heyitsmisti,@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,ia so much! i haven't really been happy with any of cooks choices for singles.,نیگەران
1956983690,من لە کەنار دەریا خەوتم و کرێمی دژەخۆری پێویستم دانەنا خخخخ,sadness,Trishalove,@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,i fell asleep on the beach and didn't put on enough sunscreen lol,دڵتەنگ
1956983851,بۆیە پێم وایە کوڕەکەم لەوانەیە ئەنفلۆنزاکەی هەبێت هۆکارەکەی من def. تەنها پاککردەوە فەسادی پووکی بۆگەندار قووتە هەژارەکان,worry,sweetkisses277,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,So i think my son might have the flu cause I def. just cleaned up a stanky puke mess Poor pumkpin,نیگەران
1956983874,زۆر نایاب بوو بۆ بینینی Oin &amp; سینتیا. زۆر دڵخۆش. ئێوارەخوانەکە زۆر باش بوو، شوێنێکی بچووکی نازدار. زۆر بەداخەوە ئۆین دوای ئەوە نەخۆش کەوت.,happiness,joia,"So great to see Oin &amp; Cynthia.  So happy.  Dinner was great, cute little place.  Too bad Oin got sick afterwards.","So great to see Oin &amp; Cynthia. So happy. Dinner was great, cute little place. Too bad Oin got sick afterwards.",بەختەوەر
1956983931,من ناتوانم هیچ bday nudges بدەم.,neutral,MunkyMunch,I cant give @jertronic any bday nudges.,I cant give any bday nudges.,ئاسایی
1956984185,...و هەموو ئەو ژنانەی کە یەکەم سەرنجەکانیان (سێکسی/دایکی) دەگوازنەوە بۆ سەر پیاوێکی کەمتر 'هەڕەشە' -- خۆیان وەک 'ئەو' لاوازن.,worry,HarryLyme,...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',نیگەران
1956984205,برادرز بلوم ئەم کۆتایی هەفتەیە لە شاری ئێل پاسۆ ناکرێتەوە. من تەنها خشت دەکڕم و چێژ لەوە وەردەگرم تا دەتوانم سەیری فیلمی برادرز بلوم بکەم.,neutral,chicabajoelsol,Brothers Bloom won't be opening this weekend in El Paso.  I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,Brothers Bloom won't be opening this weekend in El Paso. I'll just buy Brick and enjoy that until I can watch Brothers Bloom.,ئاسایی
1956984559,دەڵێت بیری پلۆرکینگ دەکەم. http://plurk.com/p/wxion,neutral,Marielii,says I miss plurking.  http://plurk.com/p/wxion,says I miss plurking. http://plurk.com/p/wxion,ئاسایی
1956984864,لەلایەن پشیلەکەمەوە پێوەی درا تا خوێن، لە ڕێگامدا بۆ بەکتریایەکی هاری. پێدەچێت ٧ شوت بۆ ماوەی ٢ مانگ. جارێکی تر هەرگیز پشیلەکانم لە ماڵەوە مەشۆ، ڕقیان لە ئاوە,worry,Amantou,"Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water","Bitten to blood by my cat, on my way for a rabies bacterin. Seems 7 shots for 2 months. Never wash my cats at home again, they hate water",نیگەران
1956984894,بیری ڤوبیس دەکەم!,neutral,Chai_Bo,I miss Voobys!,I miss Voobys!,ئاسایی
1956985129,هەروەها ELPیش نین!!,neutral,Cookphotos,@Dancing_Monk Neither are ELP!!,Neither are ELP!!,ئاسایی
1956985535,هاوڕێ، ئەوە خۆشترین شوێنی ساندویچی منە تا ئێستا. ئممم وێنەت گرتووە؟,happiness,quarrygirl,"@havingmysay  dude, that is my favorite sandwich place ever. ummm did you take PICTURES?","dude, that is my favorite sandwich place ever. ummm did you take PICTURES?",بەختەوەر
1956985612,دڵتەنگە کە شین ئای هاوسەرگیری کردووە...و ئەوە بۆ ئەلێکس نەبووە,worry,juliehuang,is sad that shin ae got married...and it wasn't to alex,is sad that shin ae got married...and it wasn't to alex,نیگەران
1956985758,دڵنیابە کاتێک دەگەڕێیتەوە تویت لەسەر ئەم بابەتە دەکەیت، بەڵام هەواڵەکان باس لە ڕۆشتنی تی ئاڕ نایت دەکەن &quot;دڵنیاکراوەتەوە&quot; ئەمڕۆ. موی تریستێ.,worry,jazz_angela,"@shondarhimes Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today.  Muy triste.","Sure you will tweet about this when you're back, but news is abuzz about TR Knight's leaving &quot;confirmed&quot; today. Muy triste.",نیگەران
1956985764,ئای پێنجشەممە تاقیکردنەوەم هەیە.. بە درێژایی ڕۆژ ئەی چوارشەممە ؟,sadness,Samm_xo,@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,ohh thursday i have exams.. all day what about wednesday ?,دڵتەنگ
1956985973,ئەم پاشنیوەڕۆیە تێکەڵاوێک بوو لەگەڵ appt پزیشکی ددانەکەم. بۆیە کاتیان بۆ سبەی کاتژمێر ٩ی بەیانی داناوە.,neutral,ssabz,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow @ 9am.,there was a mix up with my dentist appt this afternoon. so they rescheduled me for tomorrow 9am.,ئاسایی
1956986211,من تەنها بیرم لەوە دەکردەوە کە چەندە پەرۆشم بۆ ئێوە کوڕان کە بجوڵێن، بەڵام دواتر تێگەیشتم کە چەندە دڵتەنگم کە دەبینم ئێوە دەڕۆن.,sadness,metaphysical1,"@gcrush @nopantsdance i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.","i was just thinking about how excited i am for you guys to move, but then i realized how sad i am to see you go.",دڵتەنگ
1956986359,gooooood mooorning people... خۆر دەرچووە.. بە دڵنیاییەوە ئێستا بەهار، یەکەم زریانی تەپوتۆزی بەهارمان هەبوو، ئۆتۆمبێلەکەم ئێستا چەقۆی هەیە..,worry,bittenbyte,"goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..","goooood mooorning people... sun is out.. definitly spring now, we had our first spring hail storm, my car has dimples now..",نیگەران
1956986767,من ئەو ستیکە USB 'it'sakey'انەم خۆشدەوێت. ئێمە تەنها 4 گێگابایتمان هەیە لە ئوسترالیا,sadness,AshLaws,@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,دڵتەنگ
1956987381,شازادەی تازە و خەواڵووی خەو ڕۆتینی شەوانەم دەبێت زوو بچمە Dmv tmrw,worry,supkeke,fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,fresh prince and sleepy sleeps my nightly routine gotta go to Dmv early tmrw,نیگەران
1956987600,نەفرەت! hulu desktop توانای قسەکردنم لەگەڵ دەروازەیەکی دیاریکراو لە یەکێک لە سێرڤەرە devەکانماندا بە تەواوی تێکداوە. بۆیە ناتوانم سەیری بکەم و کۆد بکەم,hate,naterkane,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code,ڕق
1956987828,من ئیرەیی بە دایکت دەبەم کە قسەی لەگەڵ دەکات دەمەوێت بتبینم هەموو تویتەرەکانمان وا دەکات بیرت بکەم,worry,palomalopes24,@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,i am jealous of your mom talking to i want to see you all our twittering is making me miss you,نیگەران
1956987904,ناتوانم بخەوم...بەردەوام بیر لەو بزەیەم دەکەمەوە کە ئەمڕۆ یاریم پێکرد,worry,creativevixen86,I can't sleep...I keep thinking about the puppy I played with today,I can't sleep...I keep thinking about the puppy I played with today,نیگەران
1956987950,.. من بڕیارە خەو بم. بەڵام من هەندێک شتم دەستکەوت کە دەبێ بیکەم. &amp; من ئەو بەشە یەک لە گۆرانییەکەم لە سەرمدا گیر بوو &quot;your a jerk (iknow)&quot; بلاه,worry,smiles4dayyz,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot; blaahh,نیگەران
1956988145,چی ڕوودەدات خۆشەویستەکەم؟,neutral,padfootly,@lepetitagneau what's going on sweetheart?,what's going on sweetheart?,ئاسایی
1956988218,چۆن دەتوانێت ئەوەندە قورس بێت کە پشکنینی ڕێنووسی سەرتاسەری سیستەم بەدەست بهێنیت؟ گەواد، من ڕازی دەبووم بە سویتێکی ئۆفیس. ویندۆزێکی گەمژانەی بێ یارمەتیدەر,neutral,callatya,"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows","How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows",ئاسایی
1956988223,یەک مانگی ڕابردوو بەهۆی هاوینەوە شووتی لە بازاڕەکانی چێنا بەردەست نییە!,worry,kabilan,"Last one month due to summer, strawberry is not availble in the Chennai markets!","Last one month due to summer, strawberry is not availble in the Chennai markets!",نیگەران
1956988477,کاتژمێر ٦ی بەیانی دەوام بکە. پێویستە بەم زووانە بخەویت,neutral,enlightenthem,@willxxmobb work at 6am. Gotta go to bed soon,work at 6am. Gotta go to bed soon,ئاسایی
